Cluster,Numero de Accidentes por Cluster,Numero de accidentes por salida, numero de accidentes por Alcance, Numero de accidentes por Vuelco, Numero de accidentes por tijera, numero de accidentes por atropello, Numero de accidentes por nivel Amarillo, Numero de Accidentes por Nivel Blanco, Numero de accidentes por nivel Negro, Numero de accidentes por nivel Rojo,Class
-1,301,122,107,42,9,21,46,250,2,3,Nivel Alto
0,13,5,1,7,0,0,1,10,0,2,No hay Obras
1,12,5,3,4,0,0,3,9,0,0,No hay Obras
2,30,3,16,11,0,0,11,14,1,4,No hay Obras
3,31,9,12,8,2,0,9,17,0,5,No hay Obras
4,22,10,12,0,0,0,4,17,0,0,No hay Obras
5,24,10,7,4,0,3,2,22,0,0,No hay Obras
6,32,7,18,3,0,4,5,26,0,1,Nivel Bajo
7,7,5,2,0,0,0,0,4,3,0,No hay Obras
8,55,9,33,12,0,1,21,33,1,0,Nivel Medio
9,5,1,4,0,0,0,0,5,0,0,Nivel Bajo
10,6,4,0,2,0,0,1,5,0,0,Nivel Bajo
11,16,11,1,3,0,1,0,16,0,0,Nivel Medio
12,6,1,5,0,0,0,4,2,0,0,No hay Obras
13,29,2,26,0,0,1,5,24,0,0,Nivel Bajo
14,6,3,3,0,0,0,0,6,0,0,No hay Obras
15,24,14,10,0,0,0,7,16,0,1,Nivel Bajo
16,19,4,9,6,0,0,5,14,0,0,Nivel Bajo
17,26,2,18,6,0,0,10,16,0,0,Nivel Bajo
18,19,8,11,0,0,0,1,18,0,0,No hay Obras
19,13,3,0,10,0,0,0,13,0,0,Nivel Bajo
20,6,2,4,0,0,0,3,3,0,0,No hay Obras
21,12,4,7,1,0,0,2,10,0,0,No hay Obras
22,14,4,7,3,0,0,4,10,0,0,Nivel Bajo
23,7,4,3,0,0,0,2,5,0,0,Nivel Bajo
24,20,0,8,12,0,0,3,13,0,4,Nivel Bajo
25,56,4,44,7,1,0,9,40,0,7,Nivel Bajo
26,18,10,4,0,0,4,1,17,0,0,Nivel Bajo
