tipo,autonomia,provincia,matricula,causa,poblacion,fechahora_ini,nivel,carretera,pk_inicial,pk_final,sentido,longitud,latitud
Obras,Euskadi,ARABA,VI,Obras,Zambrana,2007-12-28 10:33:18,Blanco,AP-68,76,76,ZARAGOZA,-2.87888,42.6468
Obras,Euskadi,ARABA,VI,Obras,None,2007-12-21 09:15:37,Blanco,AP-68,23,23,BILBAO,-2.93097,43.06346
Obras,Euskadi,ARABA,VI,Obras,Zuia,2007-12-21 09:15:37,Blanco,AP-68,29,29,BILBAO,-2.906144,43.01588
Obras,Euskadi,ARABA,VI,Obras,None,2007-12-20 09:06:14,Blanco,N-1,350,350,IRÚN,-2.71807,42.87376
Obras,Euskadi,ARABA,VI,Obras,None,2007-12-19 09:36:48,Amarillo,AP-68,23,23,ZARAGOZA,-2.931188,43.06375
Obras,Euskadi,ARABA,VI,Obras,Vitoria-Gasteiz,2007-12-14 19:14:09,Amarillo,N-622,7,7,BILBAO,-2.705275,42.89774
Obras,Euskadi,ARABA,VI,Obras,Vitoria-Gasteiz,2007-12-14 19:14:09,Amarillo,N-622,7,7,BILBAO,-2.705275,42.89774
Obras,Euskadi,ARABA,VI,Obras,Vitoria-Gasteiz,2007-12-14 18:14:28,Amarillo,N-622,7,7,BILBAO,-2.705275,42.89774
Obras,Euskadi,ARABA,VI,Obras,Vitoria-Gasteiz,2007-12-14 09:13:49,Blanco,N-622,6,6,VITORIA-GASTEIZ,-2.69882,42.89018
Obras,Euskadi,ARABA,VI,Obras,Vitoria-Gasteiz,2007-12-14 09:13:49,Blanco,N-622,6,6,VITORIA-GASTEIZ,-2.69882,42.89018
Obras,Euskadi,ARABA,VI,Obras,None,2007-12-14 00:15:28,Blanco,AP-68,24,24,BILBAO,-2.931558,43.05477
Obras,Euskadi,ARABA,VI,Obras,None,2007-12-13 17:10:04,Amarillo,N-240,8,11,BILBAO,-2.648236,42.90803
Obras,Euskadi,ARABA,VI,Obras,None,2007-12-13 17:10:04,Amarillo,N-240,8,11,BILBAO,-2.648236,42.90803
Obras,Euskadi,ARABA,VI,Obras,None,2007-12-13 17:10:04,Amarillo,N-240,8,11,BILBAO,-2.648236,42.90803
Obras,Euskadi,ARABA,VI,Obras,Zambrana,2007-12-13 10:05:32,Blanco,AP-68,77,77,ZARAGOZA,-2.86839,42.64229
Obras,Euskadi,ARABA,VI,Obras,Zuia,2007-12-13 08:34:11,Blanco,AP-68,36,36,ZARAGOZA,-2.876186,42.96837
Obras,Euskadi,ARABA,VI,Obras,Zuia,2007-12-12 15:56:31,Blanco,AP-68,33,33,ZARAGOZA,-2.87367,42.99056
Obras,Euskadi,ARABA,VI,Obras,Zuia,2007-12-12 15:56:31,Blanco,AP-68,33,33,ZARAGOZA,-2.87367,42.99056
Obras,Euskadi,ARABA,VI,Obras,None,2007-12-10 08:41:08,Blanco,AP-68,23,23,BILBAO,-2.93097,43.06346
Obras,Euskadi,ARABA,VI,Obras,None,2007-12-04 11:25:29,Blanco,AP-68,43,43,BILBAO,-2.9027,42.91511
Obras,Euskadi,ARABA,VI,Obras,Urkabustaiz,2007-11-30 07:48:42,Blanco,AP-68,47,47,ZARAGOZA,-2.89352,42.88135
Obras,Euskadi,ARABA,VI,Obras,None,2007-11-30 07:48:42,Blanco,AP-68,47,47,ZARAGOZA,-2.89352,42.88135
Obras,Euskadi,ARABA,VI,Obras,Urkabustaiz,2007-11-30 07:48:42,Blanco,AP-68,48,48,ZARAGOZA,-2.89306,42.87248
Obras,Euskadi,ARABA,VI,Obras,Vitoria-Gasteiz,2007-11-28 09:17:35,Blanco,N-240,11,9,VITORIA-GASTEIZ,-2.64338,42.93479
Obras,Euskadi,ARABA,VI,Obras,None,2007-11-27 18:35:42,Blanco,N-240,12,12,BILBAO,-2.63942,42.94333
Obras,Euskadi,ARABA,VI,Obras,None,2007-11-27 18:35:42,Blanco,N-240,12,12,BILBAO,-2.63942,42.94333
Obras,Euskadi,ARABA,VI,Obras,None,2007-11-27 08:44:11,Amarillo,N-622,8,8,BILBAO,-2.712479,42.90509
Obras,Euskadi,ARABA,VI,Obras,None,2007-11-27 08:44:11,Amarillo,N-622,8,8,BILBAO,-2.712479,42.90509
Obras,Euskadi,ARABA,VI,Obras,None,2007-11-27 08:44:11,Amarillo,N-622,8,8,BILBAO,-2.712479,42.90509
