tipo,autonomia,provincia,matricula,causa,poblacion,fechahora_ini,nivel,carretera,pk_inicial,pk_final,sentido,longitud,latitud,cluster
Accidente,Euskadi,ARABA,VI,Salida,San Millán/Donemiliaga,2006-12-31 02:44:49,Blanco,N-1,386,386,MADRID,-2.309619,42.86786,0
Accidente,Euskadi,ARABA,VI,Salida,San Millán/Donemiliaga,2006-12-31 02:44:49,Blanco,N-1,386,386,IRÚN,-2.31066,42.86765,0
Accidente,Euskadi,ARABA,VI,Salida,Urkabustaiz,2006-12-30 08:31:18,Blanco,A-2521,29,29,ORDUÑA,-2.921982,42.98073,-1
Accidente,Euskadi,ARABA,VI,Salida,Legutiano,2006-12-30 00:37:03,Blanco,N-240,19,19,VITORIA-GASTEIZ,-2.672131,42.98945,1
Accidente,Euskadi,ARABA,VI,Alcance,Iruña Oka/Iruña de Oca,2006-12-29 11:05:06,Rojo,N-1,337,337,IRÚN,-2.82256,42.79229,2
Accidente,Euskadi,ARABA,VI,Alcance,Iruña Oka/Iruña de Oca,2006-12-29 11:05:06,Rojo,N-1,338,338,IRÚN,-2.817043,42.80006,3
Accidente,Euskadi,ARABA,VI,Alcance,Iruña Oka/Iruña de Oca,2006-12-29 10:33:57,Amarillo,N-1,337,337,IRÚN,-2.82256,42.79229,2
Accidente,Euskadi,ARABA,VI,Alcance,Iruña Oka/Iruña de Oca,2006-12-29 11:05:06,Rojo,N-1,337,336,IRÚN,-2.82256,42.79229,2
Accidente,Euskadi,ARABA,VI,Alcance,Iruña Oka/Iruña de Oca,2006-12-29 10:33:57,Amarillo,N-1,340,340,IRÚN,-2.79742,42.81044,4
Accidente,Euskadi,ARABA,VI,Alcance,Iruña Oka/Iruña de Oca,2006-12-29 11:05:06,Rojo,N-1,337,336,IRÚN,-2.82256,42.79229,2
Accidente,Euskadi,ARABA,VI,Alcance,Iruña Oka/Iruña de Oca,2006-12-29 10:33:57,Amarillo,N-1,340,340,IRÚN,-2.79742,42.81044,4
Accidente,Euskadi,ARABA,VI,Alcance,Iruña Oka/Iruña de Oca,2006-12-29 10:33:57,Blanco,N-1,340,340,IRÚN,-2.79742,42.81044,4
Accidente,Euskadi,ARABA,VI,Alcance,Iruña Oka/Iruña de Oca,2006-12-29 10:33:57,Blanco,N-1,340,340,IRÚN,-2.79742,42.81044,4
Accidente,Euskadi,ARABA,VI,Alcance,Iruña Oka/Iruña de Oca,2006-12-29 10:33:57,Blanco,N-1,326,326,IRÚN,-2.875459,42.71062,5
Accidente,Euskadi,ARABA,VI,Alcance,Iruña Oka/Iruña de Oca,2006-12-29 10:33:57,Blanco,N-1,322,322,IRÚN,-2.91879,42.7027,6
Accidente,Euskadi,ARABA,VI,Salida,Amurrio,2006-12-28 19:31:50,Blanco,A-625,356,356,ORDUÑA,-3.00862,43.02692,7
Accidente,Euskadi,ARABA,VI,Vuelco,Armiñón,2006-12-28 18:46:03,Amarillo,N-1,327,327,IRÚN,-2.868649,42.72015,8
