tipo,autonomia,provincia,matricula,causa,poblacion,fechahora_ini,nivel,carretera,pk_inicial,pk_final,sentido,longitud,latitud, cluster
Obras,Euskadi,ARABA,VI,Obras,Armiñón,2006-10-17 09:57:47,Blanco,N-1,323,326,IRÚN,-2.909908,42.70812,69
Obras,Euskadi,ARABA,VI,Obras,Armiñón,2006-10-17 09:57:47,Blanco,N-1,323,329,IRÚN,-2.909908,42.70812,69
Obras,Euskadi,ARABA,VI,Obras,Armiñón,2006-10-17 09:57:47,Blanco,N-1,323,329,IRÚN,-2.909908,42.70812,69
Obras,Euskadi,ARABA,VI,Obras,Armiñón,2006-10-17 09:57:47,Blanco,N-1,323,329,IRÚN,-2.909908,42.70812,69
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-10-17 09:57:47,Blanco,N-1,323,329,IRÚN,-2.909908,42.70812,69
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-10-17 09:57:47,Blanco,N-1,323,329,IRÚN,-2.909908,42.70812,69
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-10-17 09:57:47,Blanco,N-1,323,329,IRÚN,-2.909908,42.70812,69
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-10-17 09:57:47,Blanco,N-1,323,329,IRÚN,-2.909908,42.70812,69
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-10-17 09:57:47,Rojo,N-1,323,329,IRÚN,-2.909908,42.70812,69
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-10-17 09:57:47,Rojo,N-1,323,329,IRÚN,-2.909908,42.70812,69
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-10-17 09:57:47,Blanco,N-1,323,329,IRÚN,-2.909908,42.70812,69
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-10-17 09:57:47,Rojo,N-1,323,329,IRÚN,-2.909908,42.70812,69
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-10-17 09:57:47,Rojo,N-1,323,325,IRÚN,-2.909908,42.70812,69
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-10-17 09:57:47,Blanco,N-1,323,325,IRÚN,-2.909908,42.70812,69
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-10-17 09:57:47,Blanco,N-1,323,325,IRÚN,-2.909908,42.70812,69
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-10-17 09:57:47,Blanco,N-1,323,325,IRÚN,-2.909908,42.70812,69
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-10-17 09:57:47,Blanco,N-1,323,325,IRÚN,-2.909908,42.70812,69
Obras,Euskadi,ARABA,VI,Obras,None,2006-10-17 09:57:47,Blanco,N-1,323,325,IRÚN,-2.909908,42.70812,69
Obras,Euskadi,ARABA,VI,Obras,Armiñón,2006-10-17 09:57:47,Blanco,N-1,326,329,IRÚN,-2.875459,42.71062,5
Obras,Euskadi,ARABA,VI,Obras,Armiñón,2006-10-17 09:57:47,Blanco,N-1,326,329,IRÚN,-2.875459,42.71062,5
Obras,Euskadi,ARABA,VI,Obras,Armiñón,2006-10-17 09:57:47,Blanco,N-1,323,329,IRÚN,-2.909908,42.70812,69
Obras,Euskadi,ARABA,VI,Obras,Vitoria-Gasteiz,2006-03-07 07:45:54,Blanco,N-240,8,11,VITORIA-GASTEIZ,-2.64827,42.90795,38
Obras,Euskadi,ARABA,VI,Obras,Vitoria-Gasteiz,2006-03-07 07:45:54,Blanco,N-240,8,11,VITORIA-GASTEIZ,-2.64827,42.90795,38
Obras,Euskadi,ARABA,VI,Obras,Vitoria-Gasteiz,2006-03-07 07:45:54,Blanco,N-240,8,11,VITORIA-GASTEIZ,-2.64827,42.90795,38
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2006-12-28 09:46:32,Blanco,AP-68,55,55,BILBAO,-2.90293,42.81295,11
